org_id,org_name,address,org_type,"longitude, latitude",phone,description,image
0011,Calvary Episcopal Church ,"820 6th St NE, Washington, DC 20002 ",church,"38.90367379401674, -76.99940244319819",(202) 546-8011,[Insert Paragraph],https://cdn.phototourl.com/free/2026-07-14-b5067835-f8d9-4039-b6bf-294d74979a63.png
0012,Cathedral of St. Matthew the Apostle ,"1725 Rhode Island Ave NW, Washington, DC 20036",church,"38.906642491355825, -77.04010684570395",(202) 347-3215,[Insert Paragraph],https://cdn.phototourl.com/free/2026-07-14-437852e2-0041-431d-95e8-2db76b05b1bf.png
0013,The United Church ,"1920 G St NW, Washington, DC 20006",church,"38.89832666710424, -77.04472391872262",(202) 331-1495,[Insert Paragraph],https://cdn.phototourl.com/free/2026-07-14-0a02ca6b-8201-46a8-b491-6b2a9c70db78.png
0014,Martha's Table Market at the Maycroft - Grocery Distribution,"1474 Columbia Rd NW, Washington, DC 20009",food_bank,"38.93053817890354, -77.03510790885386",(202) 328-6608,[Insert Paragraph],
0015,Martha's Table at The Commons,"2375 Elvans Rd SE, Washington, DC 20020",food_bank,"38.85547838903769, -76.98464821854104",(202)-328-6608,[Insert Paragraph],
0016,National Youth Employment Coalition,"1155 15th St NW Ste 725, Washington, DC 20005",youth_focused,"38.90519438757766, -77.03431500993882",(202) 780-5928,[Insert Paragraph],
0017,Career Path DC,"3215 Martin Luther King Jr Ave SE, Washington, DC 20032",career_workforce,"38.84322146725434, -77.00128734552324",(202) 400-4635,[Insert Paragraph],
0018,Coalition For Non Profit Housing and Economic Development,"727 15th St NW #600, Washington, DC 20005",career_workforce,"38.89977136470365, -77.0332032166846",(202) 745-0902,[Insert Paragraph],
0019,,,,,,[Insert Paragraph],
0020,,,,,,[Insert Paragraph],
0021,,,,,,[Insert Paragraph],
0022,,,,,,[Insert Paragraph],
0023,,,,,,[Insert Paragraph],
0024,,,,,,[Insert Paragraph],
0025,,,,,,[Insert Paragraph],
0026,,,,,,,
0027,,,,,,,
0028,,,,,,,
0029,,,,,,,
0030,,,,,,,
0031,,,,,,,
0032,,,,,,,
0033,,,,,,,
0034,,,,,,,
0035,,,,,,,
0036,,,,,,,
0037,,,,,,,
0038,,,,,,,
0039,,,,,,,
0040,,,,,,,
0041,,,,,,,
0042,,,,,,,
0043,,,,,,,
0044,,,,,,,
0045,,,,,,,
0046,,,,,,,
0047,,,,,,,
0048,,,,,,,
0049,,,,,,,
0050,,,,,,,
0051,,,,,,,
0052,,,,,,,
0053,,,,,,,
0054,,,,,,,
0055,,,,,,,
0056,,,,,,,
0057,,,,,,,
0058,,,,,,,
0059,,,,,,,
0060,,,,,,,
0061,,,,,,,
0062,,,,,,,
0063,,,,,,,
0064,,,,,,,
0065,,,,,,,
0066,,,,,,,
0067,,,,,,,
0068,,,,,,,
0069,,,,,,,
0070,,,,,,,
0071,,,,,,,
0072,,,,,,,
0073,,,,,,,
0074,,,,,,,
0075,,,,,,,
0076,,,,,,,
0077,,,,,,,
0078,,,,,,,
0079,,,,,,,
0080,,,,,,,
0081,,,,,,,
0082,,,,,,,
0083,,,,,,,
0084,,,,,,,
0085,,,,,,,
0086,,,,,,,
0087,,,,,,,
0088,,,,,,,
0089,,,,,,,
0090,,,,,,,
0091,,,,,,,
0092,,,,,,,
0093,,,,,,,
0094,,,,,,,
0095,,,,,,,
0096,,,,,,,
0097,,,,,,,
0098,,,,,,,
0099,,,,,,,
0100,,,,,,,
