org_id,org_name,address,ward,org_type,"lat, long",phone,description,website,image
0013,Christ Church Capitol Hill,"620 G St SE, Washington, DC 20003",6,church,"38.88206457353967, -76.99726295887277",(202) 547-9300,"Christ Church Capitol Hill is a historic Episcopal parish in Washington, DC, offering inclusive worship and community fellowship. The church actively engages the local community through outreach initiatives, social justice efforts, and charitable partnerships.",http://christchurchdc.org/,https://christchurchdc.org/wp-content/uploads/sites/27/2024/05/ChristChurch2.png
0014,New Image Community Baptist,"1839 Alabama Ave SE, Washington, DC 20020",8,church,"38.84763561825941, -76.97785037220139",(202) 889-3067,"New Image Community Baptist Church is a vibrant faith community located in Ward 7 focused on spiritual development and neighborhood fellowship. It actively serves local residents through community outreach, family support services, and local ministry initiatives.",https://www.newimagecbc.org/,https://www.newimagecbc.org/build/image/67.png?w=400&h=200&fit=max&s=ef6bf6ec184cc603a8c714eee33a9ba5
0015,Our Lady of Perpetual Help Roman Catholic Church,"1600 Morris Rd SE, Washington, DC 20020",8,church,"38.8574537440062, -76.98239273357235",(202) 678-4999,"Our Lady of Perpetual Help is a historically African American Catholic parish in Southeast DC dedicated to worship, community empowerment, and spiritual care. It serves local families through parish ministries, youth programs, and community assistance",https://www.olphsedc.com/,https://files.ecatholic.com/24978/pictures/2020/1/olph_banner3.gif?t=1579870376000
0016,Good Success Christina Church & Ministries,"4401 Sheriff Rd NE, Washington, DC 20019",7,church,"38.90283830089851, -76.9389665028849",(202) 398-3000,"Good Success Christian Church is a faith-based organization committed to spiritual growth, mentorship, and holistic empowerment. The ministry offers worship services alongside community outreach and educational workshops designed to support local families.",http://www.goodsuccesschurch.org/,https://storage1.snappages.site/WDS5NG/assets/images/10942466_1008x1008_500.png
0017,Ward Memorial AME Church,"241 42nd St NE, Washington, DC 20019",7,church,"38.894158028287706, -76.94244602192809",(202) 398-3899,"Ward Memorial AME Church is a long-standing African Methodist Episcopal congregation dedicated to social justice and community advocacy. Located in Ward 7, the church hosts worship services, food distribution initiatives, and youth development opportunities.",https://www.wardame.org,"https://static.wixstatic.com/media/385295_783350a853d34e81ac847717175e90b2~mv2.png/v1/fill/w_256,h_171,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Ward-Memorial-AME-logo_white-text.png"
0018,AmeriCorps,"250 E St SW, Washington, DC 20024",6,social_welfare,"38.883161872617116, -77.01438272802136",(202) 606-5000,"AmeriCorps is a national service agency that places volunteers with local non-profits, schools, and civic groups to tackle pressing community issues. Members assist with education, public health, disaster relief, and economic opportunity initiatives across the city.",https://www.americorps.gov,https://www.americorps.gov/themes/custom/americorps/logo.svg
0019,"Urban Ed, Inc.","2041 Martin Luther King Jr Ave SE, Washington, DC 20020",8,career_workforce,"38.8660724082077, -76.98986157594157",(202) 610--2344,"Urban Ed provides technology-focused education, information technology certifications, and workforce development to children, youth, and adults in the DC region. Its programs address early educational gaps and equip residents with marketable technical skills for high-demand IT careers.",https://urbaned.org/,https://urbaned.org/wp-content/uploads/2022/01/cropped-UrbanEd_Logo2_highres.png
0020,"Training Grounds, Inc","3526 Stanton Rd SE, Washington, DC 20020",8,career_workforce,"38.84376115985484, -76.97892290108051",(202) 678-8201,Training Grounds offers customized workforce development and career-readiness initiatives designed to empower youth and adults in socioeconomically disadvantaged communities. It collaborates with local partners to deliver specialized skill-building programs in high-growth industries like construction and technology.,http://www.traininggroundsdmv.org/,https://795.0ce.myftpupload.com/wp-content/uploads/2024/11/TG-Logo2-01-1.png
0021,Run-Hope-Work,"2001 Mississippi Ave SE, Washington, DC 20020",8,career_workforce,"38.84367688472638, -76.97423337409377",(202) 288-8669,Run-Hope-Work supports DC youth and returning citizens by combining physical running training with hands-on construction trade education and job placement. The program uses fitness to build mental resilience while teaching market-ready job skills for long-term career success.,http://www.runhopework.org/,https://runhopework.org/wp-content/uploads/2022/09/logo.png
0022,Food Jonezi Friendz,"1140 3rd St NE, Washington, DC 20002",6,youth_focused,"38.905012158686624, -77.0021771452558",(202) 800-5351,"Founded in 2015, C. Jonez Nutrition Consulting Services, LLC (DBA Food Jonezi) is a Washington, D.C.-based health and wellness practice offering personalized nutrition counseling, education workshops, and healthy cooking classes. Serving a diverse audience—including Medicaid/Medicare participants, corporations, nonprofits, and government agencies—Food Jonezi has impacted over 9,000+ D.C. residents, facilitated 1,500+ workshops, and participated in 300+ community health fairs. Recognizing the greater need within underserved communities, Food Jonezi Friendz, its nonprofit arm, was launched in 2021 to focus on tackling food insecurity through culturally focused cooking classes, interactive workshops, and nutrition counseling. The nonprofit also introduced the Chef in Training program, equipping adolescents (ages 15-17) with essential food, nutrition, and culinary skills to foster healthier futures.",https://foodjonezifriendz.org,https://foodjonezifriendz.org/wp-content/uploads/2025/01/Food-Jonezi-Friendz-LOGO-White-2048x770-1-1.png
0023,Southeast Welding Center Inc,"1101 W St SE, Washington, DC 20020",8,career_workforce,"38.86556125328984, -76.99133434710613",(202) 290-1370,"Southeast Welding Center provides hands-on vocational training in welding alongside trauma-informed support services for returning citizens and adults. The program offers technical skills, trade certifications, and job placement assistance to reduce barriers to long-term employment",http://www.seweldingcenter.org/contact-us.html,http://nebula.wsimg.com/62f89b6b821905e46f620d1342526540?AccessKeyId=06DC67D543379BA3CD63&disposition=0&alloworigin=1
0024,Youth Entrepreneur Institute,"1231 Marion Barry Ave SE, Washington, DC 20020",8,youth_focused,"38.86733201900029, -76.98759416059936",(202) 930-7574,"The Youth Entrepreneur Institute teaches elementary through high school students foundational business skills by integrating hands-on STEAM, creative arts, and entrepreneurship. Students learn to draft business plans, create products, and launch their own small ventures or social enterprises.",https://www.yeidc.org/contact-us/,https://images.squarespace-cdn.com/content/v1/59d3fcc90abd042576ad8384/1583334037637-MVKQIPJ4OPJDU41589H8/YEI_LOGO.png?format=1500w
0025,Reformation Church Food Pantry,"212 E Capitol St NE, Washington, DC 20003",6,food_bank,"38.89041523969903, -77.0028605743577",(202) 543-4200,"Operating out of Lutheran Church of the Reformation on Capitol Hill, this food pantry provides emergency groceries to local individuals and families in need. It collaborates with area partners to ensure accessible nutrition and reduce hunger across the neighborhood.",,
0026,Father McKenna Center - Food Distribution Center,"19 I St NW, Washington, DC 20001",6,food_bank,"38.90173496178909, -77.01054010319365",(202) 842-1112,"Located on the campus of Gonzaga College High School, the Father McKenna Center supports men experiencing homelessness and low-income families in DC. Its food distribution program offers a walk-in food pantry and daily meals to tackle food insecurity directly.",,
0027,Marshall Heights Community Development Org.,"3939 Benning Rd NE, Washington, DC 20019",7,social_welfare,"38.894127228244116, -76.94713600504863",(202) 396-1200,"Marshall Heights Community Development Corporation works to improve the housing, economic, and social well-being of Ward 7 residents. It drives neighborhood revitalization through affordable housing development, small business support, and family counseling services.",,
0028,Life Pieces To Masterpieces,"5600 Eads St NE, Washington, DC 20019",7,social_welfare,"38.89656647342272, -76.92018800319379",(202) 399-7703,"Life Pieces To Masterpieces is an arts-based youth development organization dedicated to supporting Black boys and young men in DC’s Wards 7 and 8. Through artistic expression, academic support, and character building, the program helps young men discover their purpose and become leaders.",,
0029,Advisory Neighborhood Commision 7B,"3842 Alabama Ave SE, Washington, DC 20020",7,adv_neighborhood_commission,"38.86695664595114, -76.95171928188974",N/A,"ANC 7B is an elected local government body representing residents in Ward 7 neighborhoods like Naylor Gardens, Hillcrest, and Penn Branch. It advises DC government agencies and the Mayor on local zoning, safety, development, and community issues.",,
0030,Advisory Neighborhood Commision 7C,"540 55th St NE, Washington, DC 20019",7,adv_neighborhood_commission,"38.89749102621024, -76.92258073206908",N/A,"ANC 7C is a local advisory body representing Ward 7 neighborhoods including Deanwood, Burrville, and Lincoln Heights. The commission serves as a bridge between residents and city officials on matters concerning local development, public safety, and infrastructure.",,
0031,Advisory Neighborhood Commision 7D,"3700-3770 Benning Rd NE, Washington, DC 20019",7,adv_neighborhood_commission,"38.89569835861757, -76.9515307269559",N/A,"ANC 7D represents residents in Ward 7 communities such as Kenilworth, Parkside, Mayfair, and Eastland Gardens. It advocates for neighborhood interests regarding local traffic, public spaces, commercial development, and city services.",,
0032,Advisory Neighborhood Commision 7E,"5341 C St SE, Washington, DC 20019",7,adv_neighborhood_commission,"38.88420327345595, -76.92565351574713",N/A,"ANC 7E represents Ward 7 communities including Marshall Heights, Capitol View, and Benning Ridge. The commission brings local neighborhood perspectives directly to city officials regarding housing, public safety, and transportation planning.",,
0033,Advisory Neighborhood Commision 7F,"100 Stoddert Pl, Washington, DC 20019",7,adv_neighborhood_commission,"38.88896102547592, -76.9482345512903",N/A,"ANC 7F represents Ward 7 residents in neighborhoods such as Fort Dupont, Benning Heights, and parts of River Terrace. It gathers neighborhood input to advise DC government officials on public policy, local development, and municipal resources.",,
0034,Deanwood Citizens Association,"1350 49th St NE, Washington, DC 20019",7,adv_neighborhood_commission,"38.9080194834677, -76.93299691643033",info@deanwoodcitizens.org,,,
0035,Dupont Park Civic Association,"Fort Dupont Dr SE, Washington, DC 20019",7,adv_neighborhood_commission,"38.88103857042865, -76.95784583601431",N/A,,,
0036,Fairlawn Citizens Association,"1800 Marion Barry Ave. SE, Washington, DC 20020",7,adv_neighborhood_commission,"38.86605801286049, -76.97862773203146",Fairlawndc@gmail.com,,,
0037,Hillcrest Community Civic Association,"3100 Denver St SE, Washington, DC 20020",7,adv_neighborhood_commission,"38.859593847085314, -76.96309089603753",concern@hillcrestdc.com,,,
0038,Marshall Heights Civic Association,"5001 Central Ave SE, Washington, DC 20019",7,adv_neighborhood_commission,"38.889175946810816, -76.92956424552135",202-854-9491,,,
0039,Advisory Neighborhood Commision 8A,"1230 Sumner Rd SE, Washington, DC 20020",8,adv_neighborhood_commission,"38.86079093808297, -76.99669318494345",,,,
0040,Advisory Neighborhood Commision 8B,"1901 Mississippi Ave SE, Washington, DC 20020",8,adv_neighborhood_commission,"38.843484050603855, -76.97501227394895",,,,
0041,Advisory Neighborhood Commision 8C,"4201 Martin Luther King Jr Ave SW, Washington, DC 20032",8,adv_neighborhood_commission,"38.82810616397026, -77.0142480762873",,,,
0042,Advisory Neighborhood Commision 8D,"100 Joliet St, Washington, DC 20032",8,adv_neighborhood_commission,"38.819062528272894, -77.01010075779634",,,,
0043,Advisory Neighborhood Commision 8E,"1801 Mississippi Ave SE 1st Floor, Washington, DC 20020",8,adv_neighborhood_commission,"38.84333357304509, -76.97664705733851",,,,
0044,Advisory Neighborhood Commision 6/8F,"100 Potomac Ave SW, Washington, DC 20024",8,adv_neighborhood_commission,"38.86856583899959, -77.01287510504974",,,,
0045,Peace Lutheran Church,"4929 Ames St NE, Washington, DC 20019",7,church,,,,,
0046,Edgewood Baptist Church,"3408 C St SE, Washington, DC 20019",7,church,,,,,
0047,St. John Baptist Church,"5228 Call Pl SE, Washington, DC 20019",7,church,,,,,
0048,Redeeming Love Christian Center,"4611 Nannie Helen Burroughs Ave NE, Washington, DC 20019",7,church,,,,,
0049,Congress Heights Community Association,,8,adv_neighborhood_commission,,,,,
0050,Historic Anacostia Block Association,,8,adv_neighborhood_commission,,,,,
0051,,,,,,,,,
0052,,,,,,,,,
0053,,,,,,,,,
0054,,,,,,,,,
0055,,,,,,,,,
0056,,,,,,,,,
0057,,,,,,,,,
0058,,,,,,,,,
0059,,,,,,,,,
0060,,,,,,,,,
0061,,,,,,,,,
0062,,,,,,,,,
0063,,,,,,,,,
0064,,,,,,,,,
0065,,,,,,,,,
0066,,,,,,,,,
0067,,,,,,,,,
0068,,,,,,,,,
0069,,,,,,,,,
0070,,,,,,,,,
0071,,,,,,,,,
0072,,,,,,,,,
0073,,,,,,,,,
0074,,,,,,,,,
0075,,,,,,,,,
0076,,,,,,,,,
0077,,,,,,,,,
0078,,,,,,,,,
0079,,,,,,,,,
0080,,,,,,,,,
0081,,,,,,,,,
0082,,,,,,,,,
0083,,,,,,,,,
0084,,,,,,,,,
0085,,,,,,,,,
0086,,,,,,,,,
0087,,,,,,,,,
0088,,,,,,,,,
0089,,,,,,,,,
0090,,,,,,,,,
0091,,,,,,,,,
0092,,,,,,,,,
0093,,,,,,,,,
0094,,,,,,,,,
0095,,,,,,,,,
0096,,,,,,,,,
0097,,,,,,,,,
0098,,,,,,,,,
0099,,,,,,,,,
0100,,,,,,,,,
0101,,,,,,,,,
0102,,,,,,,,,
0103,,,,,,,,,
0104,,,,,,,,,
0105,,,,,,,,,
0106,,,,,,,,,
0107,,,,,,,,,
0108,,,,,,,,,
0109,,,,,,,,,
0110,,,,,,,,,
0111,,,,,,,,,
0112,,,,,,,,,
0113,,,,,,,,,
0114,,,,,,,,,
0115,,,,,,,,,
0116,,,,,,,,,
0117,,,,,,,,,
0118,,,,,,,,,
0119,,,,,,,,,
0120,,,,,,,,,
0121,,,,,,,,,
0122,,,,,,,,,
0123,,,,,,,,,
0124,,,,,,,,,
0125,,,,,,,,,
0126,,,,,,,,,
0127,,,,,,,,,
